ID операции	Дата аренды	ID автомобиля	ID клиента	Сумма аренды, руб.	Претензии	
1	01.01.20	A54	14	142	нет	
2	01.01.20	A23	5	259	нет	
3	01.01.20	A43	7	188	нет	
4	01.01.20	A42	6	390	нет	
5	02.01.20	A36	6	307	нет	
6	02.01.20	A44	4	96	нет	
7	02.01.20	A48	3	189	нет	
8	02.01.20	A35	15	242	нет	
9	03.01.20	A62	9	210	нет	
10	03.01.20	A50	7	107	нет	
11	03.01.20	A48	3	375	нет	
12	03.01.20	A45	11	210	нет	
13	04.01.20	A37	6	258	нет	
14	04.01.20	A50	3	194	нет	
15	04.01.20	A55	10	202	нет	
16	04.01.20	A43	5	300	нет	
17	05.01.20	A37	15	73	нет	
18	05.01.20	A11	9	207	к компании	
19	05.01.20	A11	10	175	нет	
20	05.01.20	A6	8	211	нет	
21	06.01.20	A43	5	377	нет	
22	06.01.20	A36	1	351	нет	
23	06.01.20	A46	8	186	нет	
24	06.01.20	A62	4	305	нет	
25	07.01.20	A16	9	122	нет	
26	07.01.20	A11	14	341	нет	
27	07.01.20	A6	13	287	нет	
28	07.01.20	A49	12	274	нет	
29	08.01.20	A34	14	168	нет	
30	08.01.20	A4	4	359	нет	
31	08.01.20	A9	8	370	нет	
32	08.01.20	A52	12	213	нет	
33	09.01.20	A52	7	287	нет	
34	09.01.20	A21	7	195	нет	
35	09.01.20	A62	8	351	нет	
36	09.01.20	A62	15	325	нет	
37	10.01.20	A55	4	327	нет	
38	10.01.20	A19	6	321	нет	
39	10.01.20	A40	11	80	нет	
40	10.01.20	A7	5	72	нет	
41	11.01.20	A35	15	447	нет	
42	11.01.20	A50	10	138	нет	
43	11.01.20	A23	7	102	нет	
44	11.01.20	A12	8	398	нет	
45	12.01.20	A25	11	347	нет	
46	12.01.20	A28	12	424	нет	
47	12.01.20	A10	3	183	нет	
48	12.01.20	A7	5	77	нет	
49	13.01.20	A33	14	86	нет	
50	13.01.20	A63	8	178	нет	
51	13.01.20	A25	15	94	нет	
52	13.01.20	A36	4	283	нет	
53	14.01.20	A46	9	437	нет	
54	14.01.20	A26	11	270	нет	
55	14.01.20	A37	10	195	нет	
56	14.01.20	A46	8	168	нет	
57	15.01.20	A61	1	346	нет	
58	15.01.20	A44	10	184	нет	
59	15.01.20	A18	3	92	нет	
60	15.01.20	A14	13	423	нет	
61	16.01.20	A37	4	227	нет	
62	16.01.20	A37	3	265	нет	
63	16.01.20	A19	14	201	нет	
64	16.01.20	A37	7	352	нет	
65	17.01.20	A29	1	252	нет	
66	17.01.20	A12	10	252	нет	
67	17.01.20	A18	13	156	нет	
68	17.01.20	A3	10	343	нет	
69	18.01.20	A12	3	90	нет	
70	18.01.20	A35	8	282	нет	
71	18.01.20	A38	3	315	нет	
72	18.01.20	A26	5	236	нет	
73	19.01.20	A43	2	368	нет	
74	19.01.20	A40	1	108	нет	
75	19.01.20	A41	15	173	нет	
76	19.01.20	A38	2	257	нет	
77	20.01.20	A64	13	276	нет	
78	20.01.20	A63	12	241	нет	
79	20.01.20	A50	3	86	нет	
80	20.01.20	A53	11	428	нет	
81	21.01.20	A11	15	344	нет	
82	21.01.20	A50	10	379	нет	
83	21.01.20	A7	6	307	нет	
84	21.01.20	A10	7	108	нет	
85	22.01.20	A21	14	184	нет	
86	22.01.20	A24	15	219	нет	
87	22.01.20	A25	12	295	нет	
88	22.01.20	A24	12	181	нет	
89	23.01.20	A57	6	309	нет	
90	23.01.20	A5	11	358	нет	
91	23.01.20	A57	12	76	нет	
92	23.01.20	A42	6	171	нет	
93	24.01.20	A12	9	126	нет	
94	24.01.20	A14	11	429	нет	
95	24.01.20	A28	5	88	нет	
96	24.01.20	A55	2	448	нет	
97	25.01.20	A62	9	407	нет	
98	25.01.20	A14	1	154	нет	
99	25.01.20	A62	9	129	нет	
100	25.01.20	A61	2	262	нет	
101	26.01.20	A35	3	222	нет	
102	26.01.20	A44	11	250	нет	
103	26.01.20	A59	1	146	нет	
104	26.01.20	A39	3	450	к клиенту	
105	27.01.20	A46	15	404	нет	
106	27.01.20	A40	8	444	нет	
107	27.01.20	A31	4	344	нет	
108	27.01.20	A56	3	424	нет	
109	28.01.20	A15	13	371	нет	
110	28.01.20	A45	4	193	нет	
111	28.01.20	A58	15	259	нет	
112	28.01.20	A7	12	308	нет	
113	29.01.20	A7	5	296	нет	
114	29.01.20	A48	14	314	нет	
115	29.01.20	A17	2	157	нет	
116	29.01.20	A54	1	445	нет	
117	30.01.20	A65	3	379	нет	
118	30.01.20	A36	2	256	нет	
119	30.01.20	A43	11	362	нет	
120	30.01.20	A47	5	249	нет	
121	31.01.20	A32	11	389	нет	
122	31.01.20	A64	14	374	нет	
123	31.01.20	A39	4	140	нет	
124	31.01.20	A16	15	366	нет	
125	01.02.20	A53	7	275	нет	
126	01.02.20	A65	10	406	нет	
127	01.02.20	A14	4	299	нет	
128	01.02.20	A51	13	357	нет	
129	02.02.20	A58	7	164	нет	
130	02.02.20	A11	1	276	нет	
131	02.02.20	A63	2	298	нет	
132	02.02.20	A59	14	85	нет	
133	03.02.20	A43	13	277	нет	
134	03.02.20	A51	3	313	нет	
135	03.02.20	A40	9	119	нет	
136	03.02.20	A54	6	121	нет	
137	04.02.20	A64	6	96	нет	
138	04.02.20	A8	1	315	нет	
139	04.02.20	A15	1	112	нет	
140	04.02.20	A2	3	154	нет	
141	05.02.20	A41	13	207	нет	
142	05.02.20	A54	6	231	нет	
143	05.02.20	A39	8	235	нет	
144	05.02.20	A2	12	245	нет	
145	06.02.20	A22	12	279	нет	
146	06.02.20	A47	14	117	нет	
147	06.02.20	A32	6	383	нет	
148	06.02.20	A13	6	85	нет	
149	07.02.20	A58	10	278	нет	
150	07.02.20	A47	5	410	нет	
151	07.02.20	A35	13	297	нет	
152	07.02.20	A57	8	373	нет	
153	08.02.20	A62	5	73	нет	
154	08.02.20	A57	14	158	нет	
155	08.02.20	A59	4	237	нет	
156	08.02.20	A48	13	156	нет	
157	09.02.20	A14	12	390	нет	
158	09.02.20	A41	15	381	нет	
159	09.02.20	A23	9	359	нет	
160	09.02.20	A24	6	394	нет	
161	10.02.20	A12	3	279	нет	
162	10.02.20	A31	11	205	нет	
163	10.02.20	A51	12	218	нет	
164	10.02.20	A27	4	175	нет	
165	11.02.20	A47	13	136	нет	
166	11.02.20	A62	13	355	нет	
167	11.02.20	A5	5	323	нет	
168	11.02.20	A18	15	111	нет	
169	12.02.20	A37	9	394	нет	
170	12.02.20	A25	4	375	нет	
171	12.02.20	A49	8	372	нет	
172	12.02.20	A47	1	364	нет	
173	13.02.20	A23	2	168	нет	
174	13.02.20	A21	3	321	нет	
175	13.02.20	A50	12	381	нет	
176	13.02.20	A11	15	287	нет	
177	14.02.20	A19	9	157	нет	
178	14.02.20	A21	11	371	нет	
179	14.02.20	A48	3	89	нет	
180	14.02.20	A21	1	342	нет	
181	15.02.20	A1	5	85	нет	
182	15.02.20	A38	6	444	нет	
183	15.02.20	A30	5	263	нет	
184	15.02.20	A1	15	306	нет	
185	16.02.20	A50	13	417	нет	
186	16.02.20	A6	1	332	нет	
187	16.02.20	A61	15	426	нет	
188	16.02.20	A48	6	133	нет	
189	17.02.20	A4	11	324	нет	
190	17.02.20	A3	6	71	нет	
191	17.02.20	A60	11	386	нет	
192	17.02.20	A19	14	293	нет	
193	18.02.20	A60	5	388	нет	
194	18.02.20	A5	14	277	нет	
195	18.02.20	A23	2	229	нет	
196	18.02.20	A41	1	223	нет	
197	19.02.20	A11	7	408	нет	
198	19.02.20	A49	4	120	нет	
199	19.02.20	A21	11	375	нет	
200	19.02.20	A50	15	284	нет	
201	20.02.20	A63	8	204	нет	
202	20.02.20	A6	13	280	нет	
203	20.02.20	A57	11	95	нет	
204	20.02.20	A15	4	438	нет	
205	21.02.20	A61	11	84	нет	
206	21.02.20	A11	11	94	нет	
207	21.02.20	A61	3	400	нет	
208	21.02.20	A12	10	166	нет	
209	22.02.20	A63	1	397	нет	
210	22.02.20	A29	14	241	нет	
211	22.02.20	A10	3	100	нет	
212	22.02.20	A51	7	324	нет	
213	23.02.20	A42	14	196	нет	
214	23.02.20	A48	6	286	нет	
215	23.02.20	A9	5	390	нет	
216	23.02.20	A55	11	254	нет	
217	24.02.20	A44	15	303	нет	
218	24.02.20	A23	9	94	нет	
219	24.02.20	A15	7	315	нет	
220	24.02.20	A33	4	287	нет	
221	25.02.20	A25	14	78	нет	
222	25.02.20	A61	8	224	нет	
223	25.02.20	A33	14	89	нет	
224	25.02.20	A28	13	182	нет	
225	26.02.20	A55	13	246	нет	
226	26.02.20	A36	1	377	нет	
227	26.02.20	A44	5	208	нет	
228	26.02.20	A55	12	118	нет	
229	27.02.20	A21	14	329	нет	
230	27.02.20	A12	5	306	нет	
231	27.02.20	A40	8	219	нет	
232	27.02.20	A60	9	449	нет	
233	28.02.20	A54	7	189	нет	
234	28.02.20	A63	10	178	нет	
235	28.02.20	A57	15	205	нет	
236	28.02.20	A60	11	252	нет	
237	29.02.20	A45	4	322	нет	
238	29.02.20	A31	4	267	нет	
239	29.02.20	A64	2	219	нет	
240	29.02.20	A8	2	236	нет	
241	01.03.20	A3	4	288	нет	
242	01.03.20	A40	12	97	нет	
243	01.03.20	A14	6	104	нет	
244	01.03.20	A3	9	341	нет	
245	02.03.20	A58	15	431	нет	
246	02.03.20	A59	6	205	нет	
247	02.03.20	A13	14	169	нет	
248	02.03.20	A56	9	279	нет	
249	03.03.20	A47	1	313	нет	
250	03.03.20	A24	13	294	нет	
251	03.03.20	A58	7	390	нет	
252	03.03.20	A13	9	410	нет	
253	04.03.20	A53	4	76	нет	
254	04.03.20	A2	9	223	нет	
255	04.03.20	A65	8	205	нет	
256	04.03.20	A59	12	433	нет	
257	05.03.20	A52	7	301	нет	
258	05.03.20	A52	5	234	нет	
